conm,tic,cik,sic
SPECTRAL CAPITAL CORP,FCCN,1131903,7370
VIRGIN MEDIA INC,VMED,1270400,4841
NEUBERGER BERMAN RLTY INC FD,NRI.1,1221327,6726
PIMCO HIGH INCOME FUND,PHK,1219360,6726
IPASS INC,IPAS,1053374,7370
BERKSHIRE INCOME REALTY INC,BIR.PA,1178862,6798
ADVENT CONVERTIBL AND INC FD,AVK,1219120,6726
CHELSEA THERAPEUTICS INTL,CHTP,1333763,2836
DTS INC,DTSI,1226308,6794
EURO SUN MINING INC,CPNFF,1367671,1000
OPTIMUMBANK HOLDINGS INC,OPHC,1288855,6020
BRAINSTORM CELL THERAPEUTICS,BCLI,1137883,2836
GAMEHAPPY.COM INC,0406B,1133944,7370
LIBERTY STAR URANIUM & METAL,LBSR,1172178,1000
NETGEAR INC,NTGR,1122904,3663
NATIONAL FINANCIAL PRTNRS CP,NFP,1183186,6411
CSI TECHNOLOGIES INC,0412B,1117326,3679
BLACKROCK CORP HI YIELD FUND,HYT,1222401,6726
EATON VANCE LTD DUR INCM FD,EVV,1222922,6726
CALAMOS CONV & HIGH INCM FD,CHY,1222719,6726
KEYERA CORP,KEYUF,1442503,4931
CRYSTAL DECISIONS INC-REDH,CRSX.1,1126499,7372
AMERICAN SEAFOODS CORP-REDH,SEA.1,1231129,6799
DIRECT GENERAL CORP,DRCT,1023031,6331
COINMACH CORP,0055A,91693,7200
BLUBUZZARD INC,BZRD,1765826,5500
PEER 1 NETWORK ENTERPRISES,PNWKF,1228606,4899
DEX MEDIA EAST LLC,DEX1,1212113,2741
ARSENAL ENERGY INC,AEYIF,1486069,1311
AMERENENERGY GENERATING CO,AEE2,1135361,4911
DUKE ENERGY FIELD SVCS LLC,DUK2,1119811,1311
MARKET HUB PRTNRS STORAGE LP,DUK3,1060240,4922
QEP RESOURCES INC,QEP,1108827,1311
SOUTH JERSEY GAS CO,SJI1,1035216,4923
TE PRODUCTS PIPELINE CO -LP,DUK4,1045548,4610
PARKS AMERICA INC,PRKA,1297937,7996
GATEWAY GOLD CORP,GTQ.Z,1361627,1040
HANCOCK JOHN PFD INCM FD III,HPS,1215913,6726
SOPHIRIS BIO INC,SPHS,1563855,2836
MINRAD INTL INC,BUF,1121225,2834
MINDSPEED TECHNOLOGIES INC,MSPD,1224370,3674
VCG HOLDING CORP,VCGH,1172852,7990
BANK OF BOTETOURT BUCHANAN,BORT,1172229,6020
COHEN & STEERS REIT & PF&INM,RNP,1224450,6726
MONARCH FINANCIAL HLDGS INC,MNRK,1364856,6020
ORAGENICS INC,OGEN,1174940,2836
WELLS FARGO MULTI-SEC INCOME,ERC,1227073,6726
NEUBERGER BERMAN INCOME OPP,NOX,1227699,6726
HELIOS HIGH INCOME FUND INC,HIH,1227122,6726
NUVEEN CREDIT STRATEGIES,JQC,1227476,6726
TALON THERAPEUTICS INC,3TLON,1140028,2836
JEFFERSON BANCSHARES INC/TN,JFBI,1222915,6035
GLADSTONE COMMERCIAL CORP,GOOD,1234006,6798
WHITE HOUSE INC-REDH,WHBK,1078337,5621
CAPITALSOURCE INC,CSE,1241199,6159
REDENVELOPE INC,REDEQ,1236038,5961
CLIFTON BANCORP INC,CSBK,1592329,6035
MODIVCARE INC,MODV,1220754,4100
RAINIER PACIFIC FINL GRP INC,RPFG,1243800,6036
CHEVIOT FINANCIAL CORP,CHEV,1528843,6036
CRH MEDICAL CORP,CRHM,1461119,8011
CENTRAL GOLDTRUST,GTU,1364728,6199
VICEROY EXPLORATION LTD,XVE,1012454,1040
AMERICAN BANCORP NJ INC,ABNJ,1330039,6035
PIONEER MUNICIPAL HIGH INCM,MHI,1223026,6726
K-SEA TRANSPORTATION  -LP,KSP,1178575,4400
FIRST POTOMAC REALTY TRUST,FPO,1254595,6798
RARE ELEMENT RESOURCES LTD,REEMF,1419806,1090
LUMINENT MORTGAGE CAPITAL,LUMCQ,1236309,6798
STINGRAY COPPER INC,SRYYF,872003,1000
POTOMAC ELECTRIC POWER CO,POM3,79732,4911
AIR TRANSPORT SERVICES GROUP,ATSG,894081,4512
FIRST CMNTY BK CORP AMER,FCFL,1082564,6036
BLACKHAWK GROWTH CORP,BLRZF,863710,6799
YELLOW PAGES LTD,YLWDF,1557261,2741
BLACKROCK LTD DURATN INC TR,BLW,1233681,6726
NEUBERGER BERMAN H YLD ST FD,NHS,1487610,6726
VIRTUS ALLIANZGI CONVERTIBLE,NCZ,1227857,6726
IGATE COMPUTER SYSTEMS LTD,IGATY,1324503,7370
WESTERN ASST GLBL HI INCM FD,EHI,1228509,6726
BLACKROCK MUNI NY INT DUR FD,MNE,1232863,6726
BLACKROCK MUNI INTERMED DUR,MUI,1232860,6726
BLACKROCK CR ALLOC INCM TR I,PSW,1229876,6726
CARDIFF ONCOLOGY INC,CRDF,1213037,2836
WHITING PETROLEUM CORP,WLL,1255474,1311
LKQ CORP,LKQ,1065696,5010
INTERNATIONAL STEEL GRP INC,ISG.1,1231868,3310
ATIKWA RESOURCES INC,ATKXF,1263082,1311
GRANITE REAL ESTATE INVEST,GRP.U,1564538,6798
MAINSTREET EQUITY CORP,MEQYF,1311682,6500
MIDDLEBROOK PHARMACEUTICALS,MBRKQ,1161924,2834
GENITOPE CORP,GTOPQ,1028358,2836
CINEDIGM CORP,CIDM,1173204,7822
NATURAL GOLF CORP,NAXG,1039387,3949
LIGHTFIRST INC-REDH,BLF.1,1255145,7370
QUANTA CAPITAL HOLDINGS LTD,QNTA.1,1264242,6331
EL PASO PRODUCTION HLDG-REDH,0434B,1239454,1311
CENTENNIAL SPECLTY FOODS CP,CHLE,1227167,2030
AMIS HOLDINGS INC,AMIS,1161963,3674
FRANKLIN BANK CORP,FBTXQ,1207070,6036
NELNET INC,NNI,1258602,6141
ASHFORD HOSPITALITY TRUST,AHT,1232582,6798
LEGEND INTL HOLDINGS INC,LGDIQ,1132143,1400
BLUE HOLDINGS INC,BLHI,1139683,2300
ESPERANZA RESOURCES CORP,ESPZF,1261252,1040
NITROMED INC,NTMD,927829,2834
KNBT BANCORP INC,KNBT,1236964,6036
OMNIQ CORP,OMQS,278165,7370
PIMCO INCOME STRATEGY FUND,PFL,1244183,6726
MANAGED DURATION INVT MUN FD,MZF,1235511,6726
H&E EQUIPMENT SERVICES LLC,0437B,1177257,7350
CHUKCHANSI ECON DEV AUT-REDH,0438B,1210298,7990
PHARMACYTE BIOTECH INC,PMCB,1157075,2836
FIRST BANKING CENTER INC,FBCI,356858,6020
FRANKLIN LTD DUR INCOME TR,FTF,1233087,6726
LECG CORP,XPRT,1192305,8742
SIRVA INC  -REDH,SRVA,1181232,4213
TOLERRX INC-REDH,TLRX,1131933,2834
FLAHERTY & CRUMRINE TOT RET,FLC,1245648,6726
DWS RREEF REAL ESTATE FD II,SRO,1231160,6726
TRACK GROUP INC,TRCK,1045942,7380
CENTERPOINT ENRG HOUSTON ELE,CNP6,48732,4911
ONCOR ELECTRIC DELIVERY CO,TXU3,1193311,4911
NORTHAIR SILVER CORP,INNHF,1553839,1044
SEACOAST COMMERCE BANC HLDG,SCBH,1711044,6020
CREW ENERGY INC,CWEGF,1515645,1311
PUDA COAL INC,PUDA,1162747,1221
SIGMATEL INC,SGTL,1043639,3674
MYOGEN INC,MYOG,1101052,2834
XPERI HOLDING CORP,XPER,1690666,3674
COAST FINANCIAL HOLDINGS INC,CFHI,1262276,6020
SYNNEX CORP,SNX,1177394,5045
FIRST MARBLEHEAD CORP,FMD,1262279,6141
MARLIN BUSINESS SERVICES INC,MRLN,1260968,6172
ORIGEN FINANCIAL INC,ORGN.1,1268039,6798
CANETIC RESOURCES TRUST,CNE.4,1349237,1311
ALACER GOLD CORP,ALIAF,1060883,1040
FALCON FINANCIAL INVT TRUST,FLCN.,1262001,6798
HIGHLAND HOSPITALITY CORP,HIH.1,1262415,6798
EYETECH PHARMACEUTICALS INC,EYET,1115285,2834
TERCICA INC,TRCA.1,1262175,2834
AMERICAN EQTY INVT LIFE HLDG,AEL,1039828,6311
GLOBAL INDEMNITY GROUP LLC,GBLI,1494904,6351
PUBLIC CO MANAGEMENT CORP,PCMC,1141964,8742
PROVIDE COMMERCE INC,PRVD,1263756,5961
ALLEGHENY ENRG SUPPLY CO LLC,AYE5,1159157,4911
CENTRAL HUDSON GAS & ELECTR,CHG1,18647,4931
EXELON GENERATION CO LLC,EXC2,1168165,4911
PARAGON COMMERCIAL CORP,PBNC.,1414374,6020
BLACKROCK MUN 2020 TERM TR,BKK,1181250,6726
BLACKROCK FLA MUN 2020 TERM,BFO,1181249,6726
FIRST TRUST/FOUR CORNERS SR,FCM,1232461,6726
EATON VANCE TAX ADVT DIV INC,EVT,1253327,6726
ING CLARION RE INCOME FUND,IIA,1254634,6726
NUVEEN DIVERSIFIED DIV INCM,JDD,1255821,6726
WESTERN ASS INF-LKD INCM FND,WIA,1254370,6726
CHEVY CHASE BANK FSB,CCX.PC,856417,6035
GUIDE EXPLORATION LTD,GLNNF.,1433007,1311
ADVANCED EMISSIONS SOLUTIONS,ADES,1515156,3559
INTEGRITY BANCSHARES INC,ITYCQ,1103764,6020
PALMSOURCE INC,PSRC,1178056,7372
WAVEFRONT TECHNOLOGY SOLTNS,WFTSF,1296706,3533
CALLIDUS SOFTWARE INC,CALD,1035748,7372
CONN'S INC,CONN,1223389,5731
KINTERA INC,KNTA,1117119,7372
COATES MOTORCYCLE CO-REDH,0448B,1235935,3751
ACORDA THERAPEUTICS INC,ACOR,1008848,2836
NEWALLIANCE BANCSHARES INC,NAL,1264755,6036
ALPHASMART INC,ALSM,1264388,3571
UNIVERSAL TECHNICAL INST,UTI,1261654,8200
FIRST BANKS INC,0450B,710507,6020
KANSAS CITY POWER & LIGHT CO,GXP1,54476,4911
LACLEDE GAS CO,LG1,57183,4924
MADISON GAS & ELECTRIC CO,MGEE1,61339,4931
NORTHERN BORDER PIPELINE CO,NBP1,1095355,4922
TALEN ENERGY CORP,TLN,1622536,4911
GOVERNMENT PROPERTIES TRUST,GPT.2,1266112,6798
PPOL INC,PPLI,1202507,3663
AMERICAN LIFE HOLDING CO,ALFE,1187449,6311
PSEG ENERGY HOLDINGS LLC,PEG2,1089206,4911
PSEG POWER LLC,PEG3,1158659,4911
PUBLIC SERVICE CO OF NEW MEX,PNM1,81023,4931
PUGET SOUND ENERGY INC,PSD1,81100,4931
SOUTHERN POWER CO,SO6,1160661,4911
PUDO INC,PDPTF,1668112,4210
PIONEER MUN HIGH INC ADV TR,MAV,1258943,6726
INTERCARD INC-REDH,0452B,1041256,3669
HARBIN ELECTRIC INC,HRBN,1266719,3621
RENOVIS INC,RNVS,1118361,2834
TEMPUR SEALY INTL INC,TPX,1206264,2510
AMERICAN ACHIEVEMENT CORP,0072A,1168468,2741
AMERICAN CELLULAR CORP,0073A,1067075,4812
INTERLINE BRANDS INC,0460B,1292900,5070
HILLTOP HOLDINGS INC,HTH,1265131,6199
WHEELING PITTSBURGH CORP,WPSC,941738,3312
BLACKROCK FLTG RATE INCM STR,FRA,1259708,6726
NEUBERGER BERMAN RE SEC FD,NRO,1261166,6726
MONITRONICS INTL INC,SCTY,1265107,7380
NATIONAL WINE & SPIRITS INC,0462B,1081971,5180
CARMANAH TECHNOLOGIES CORP,CMHXF,1085105,3640
ASSURANT INC,AIZ,1267238,6351
ASSET ACCEPTANCE CAPITL CP,AACC,1264707,6153
CROSSTEX ENERGY INC,XTXI,1209821,1311
ROCKWOOD SPECIALTIES GRP INC,0092A,1261302,2800
XXXX DORMANT SHELL CORP,XDSC,1627811,6141
REVETT MINING CO INC,RVM,1404592,1000
CBD MEDIA LLC,0046A,1253808,2741
UNITED COMPONENTS INC,0122A,101116,3714
GOLFSMITH INTL HOLDINGS INC,GOLF.1,1202273,5940
TNS INC,TNS,1268671,7374
COMPASS MINERALS INTL INC,CMP,1227654,1400
PORTEC RAIL PRODUCTS INC,PRPX,1263074,3743
JL FRENCH AUTOMOTIVE CASTING,0471B,1091601,3714
ELECTRO ENERGY INC,EEEI,1175636,3690
DAYSTAR TECHNOLOGIES INC,DSTI,1262200,8731
BUFFALO WILD WINGS INC,BWLD,1062449,5812
AIRBEE WIRELESS INC,ABEW,1297533,7372
MEDICAL MARIJUANA INC,MJNA,1604964,2834
PALADIN HOLDINGS INC,PLHI,1200268,3751
ISABELLA BANK CORP,ISBA,842517,6020
ASPEN INSURANCE HOLDINGS LTD,AHL,1267395,6331
KRONOS WORLDWIDE INC,KRO,1257640,2810
GENESIS HEALTHCARE CORP,GHCI,1236736,8051
VISTRA CORP,VST,1692819,4911
TRIP COM GROUP LTD,TCOM,1269238,4700
ANADYS PHARMACEUTICALS INC,ANDS,1128495,2834
TRW AUTOMOTIVE HOLDINGS CORP,TRW,1267097,3714
NUVEEN MUN HIGH INC OPP FD,NMZ,1266585,6726
DEX MEDIA INC-OLD,DEX.2,1284529,2741
OXFORD SQUARE CAPITAL CORP,OXSQ,1259429,6797
EATON VANCE SR FLTNG RTE TR,EFR,1258623,6726
GABELLI DIVIDEND & INCOME TR,GDV,1260729,6726
MUNDORO CAPITAL INC,MUNMF,1799827,1040
CAPLEASE INC,LSE,1057689,6798
CHEROKEE INTERNATIONAL CORP,CHRK,1090069,3679
PCB BANCORP,PCB,1423869,6020
WESTERN ASST EMERG MRKT DEBT,EMD,1227862,6726
GENESIS FINANCIAL INC-REDH,GFNL,1183082,6162
RAB HOLDINGS INC,0479B,1067702,5141
RAB ENTERPRISES INC,0480B,1067700,5141
MRU HOLDINGS INC,UNCLQ,1145202,6141
ENTORIAN TECHNOLOGIES INC,ENTN,866830,3571
ATHEROS COMMUNICATIONS INC,ATHR,1140486,3674
VASO ACTIVE PHARMA INC,VAPHQ,1232400,2834
SPIRIT REALTY CAPITAL INC,SRC,1308606,6798
CENTRAL FREIGHT LINES INC,CENF,1085636,4213
MARCHEX INC,MCHX,1224133,7389
MOTIVE INC,MOTV.1,1112422,7372
IMMUNICON CORP/DE,IMMCQ,1083132,2835
WOODBRIDGE HOLDINGS CORP,WDGH,1218320,6552
BLACKROCK EQUITY DIVIDEND TR,BDV,1265316,6726
SALESFORCE.COM INC,CRM,1108524,7372
PROCENTURY CORP,PROS.1,1273397,6331
FREESCALE SEMICONDUCTOR INC,BX1,1272547,3674
BRISTOL WEST HOLDINGS INC,BRW.1,1272957,6331
PENINSULA PHARMA INC-REDH,PPRX,1145975,2834
INTERSECTIONS INC,INTX,1095277,7323
MEI PHARMA INC,MEIP,1262104,2834
VILLAGE FARMS INTL INC,VFF,1584549,100
RMR REAL ESTATE INCM FD -OLD,RIF.3,1443387,6726
CRAILAR TECHNOLOGIES INC,CRLRQ,1210294,2200
WASHTENAW GROUP INC,TWHR,1263282,6162
U S GEOTHERMAL INC,HTM,1172136,4991
JED OIL INC,JEDOF,1258021,1311
LYDIAN TRUST CO-REDH,LYDN,1274081,6035
SANTARUS INC,SNTS,1172480,2834
ASSURED GUARANTY LTD,AGO,1273813,6351
MEMORY PHARMA CORP,MEMY,1062216,2834
FIRST NATL BANKSHRS FL INC,FLB,1267969,6020
RESSOURCES PERSHIMCO INC,RSPRF,1406565,1040
AUSTRAL PACIFIC ENERGY LTD,AUSPF,1041829,1311
NEW YORK MORTGAGE TRUST INC,NYMT,1273685,6798
DYADIC INTERNATIONAL INC,DYAI,1213809,2836
CAPTERRA FINANCIAL GROUP INC,3CPTA,1233275,6552
APPLIED SOLAR INC,APSOQ,1176193,3674
NUTRASTAR INTERNATIONAL INC,NUIN,1273385,100
NOVACEPT INC-REDH,NVCT,1275711,3845
BIOVERIS CORP,BIOV.1,1264899,3826
OAK RIDGE FINANCIAL SERVICES,BKOR,1398006,6020
FIELDSTONE INVESTMENT CORP,FICC,1271831,6798
JAZZ SEMICONDUCTOR INC -REDH,JAZZ.2,1200720,3674
GENWORTH FINANCIAL INC,GNW,1276520,6311
SIMPLICITY BANCORP INC,SMPL.1,1412109,6035
EVERGREEN HOLDINGS INC,0493B,1263810,4522
COHEN & STEERS REIT UTL FD,RTU,1265419,6726
NUVEEN TAX-ADV TOT RET ST FD,JTA,1265708,6726
PIONEER MUNI AND EQ INCM TR,PBF.1,1267150,6726
SYNIVERSE HOLDINGS INC-OLD,SVR.1,1169264,7373
GUGGENHEIM ENHANCED EQTY FD,GGE,1267890,6726
EATON VANCE TX ADV GLBL DIV,ETG,1270523,6726
TECHNIPOWER SYSTEMS INC,TECZ.1,1240722,3728
CYTOKINETICS INC,CYTK,1061983,2834
BANCORP INC,TBBK,1295401,6020
OBN HOLDINGS INC,OBNI,1261204,6200
PNY TECHNOLOGIES INC-REDH,PNYT,1122080,3577
GANDER MOUNTAIN CO,GMTA.1,1277475,5940
BARRIER THERAPEUTICS INC,BTRX.,1173657,2834
ATLAS ENERGY INC,ATLS.2,1279228,4922
SP PLUS CORP,SP,1059262,7500
SIRF TECHNOLOGY HOLDINGS INC,SIRF,1163943,3812
SEMICONDUCTOR MFG INTL CORP,SMICY,1267482,3674
MARKETAXESS HOLDINGS INC,MKTX,1278021,6200
B&G FOODS INC,BGS,1278027,2033
PLACER SIERRA BANCSHARES,PLSB.,1279410,6022
LIBERMAN BRDCSTING CORP-REDH,LBIM,1279094,4832
METABASIS THERAPEUTICS INC,MBRX.1,1053221,2834
MACLOS CAPITAL INC,LMSMF,1286455,9995
ARTIS REIT,ARESF,1734123,6798
FIRSTBANK FINANCIAL SRVC INC,FBFS,1316410,6020
PROCERA NETWORKS INC,PKT,1165231,3576
ATLANTIC BROADBAND FINANCE LLC,1648B,1289785,4841
ETRIALS WORLDWIDE INC,ETWC,1268904,7370
OSAGE EXPLORATION AND DEV,OEDVQ,1405686,1311
SOUTHWEST CASINO CORP,SWCC,1170848,7990
REDDY ICE HOLDINGS INC,RDDYQ,1268984,2090
ARBOR REALTY TRUST INC,ABR,1253986,6798
SEVEN NETWORKS INC-REDH,SEVN,1145750,7372
AFFIRMATIVE INS HOLDINGS INC,AFFMQ,1282543,6331
OASIS SEMICONDUCTOR INC-REDH,OASI.1,1156934,3674
LIFE TIME FITNESS INC,LTM.2,1076195,7997
GLOBAL GOLD CORP,GBGD,319671,1040
PLANET GREEN HOLDINGS CORP,PLAG,1117057,2090
FINANCIAL PACIFIC CO-REDH,FNPC.1,1057538,6172
COLLEGIATE FUNDING SERVICES,CFSI,1286686,6141
COINMACH SERVICE CORP,DRA.,1282858,7200
COLOR KINETICS INC,CLRK,1048611,3674
CELLDEX THERAPEUTICS INC-OLD,CDEX.1,1286517,2836
GREENFIELD ONLINE INC,SRVY,1108906,8700
STONEMOR INC,STON,1753886,6531
DOMINO'S PIZZA INC,DPZ,1286681,5812
GSI TECHNOLOGY INC,GSIT,1126741,3674
SARATOGA RESOURCES INC,SARA,1096339,1311
MULTI-FINELINE ELECTRON INC,MFLX,830916,3672
MASTERCARD INC,MA,1141391,6099
THOMAS PROPERTIES GROUP,TPGI,1283709,6500
NEXTEST SYSTEMS CORP,NEXT.2,1167896,3825
NETLOGIC MICROSYSTEMS INC,NETL.1,1135711,3674
PROSPECT CAPITAL CORP,PSEC,1287032,6797
PHARMACOPEIA INC,PCOP,1273013,2836
NUVEEN FLOATNG RATE INCME FD,JFR,1276533,6726
WORLDSPAN TECHNOL INC-REDH,WS.4,1284992,7374
LEADIS TECHNOLOGY INC,LDIS,1130626,3674
HOSPIRA INC,HSP,1274057,2834
MTONE WIRELESS CORP-REDH,MTWI,1276118,4812
NAVTEQ CORP,NVT.1,834208,7370
LINDOWS INC-REDH,LINE.2,1282724,7372
AUXILIUM PHARMA INC,AUXL,1182129,2834
FIRST TRUST/VALUE LINE,FVI.1,1264352,6726
ACTIVE NETWORK INC,ACTV.2,1163932,7372
XERIUM TECHNOLOGIES INC,XRM,1287151,3550
NANOSYS INC-REDH,NNSY,1160719,3674
EATON VANCE TAX AD GLB DV OP,ETO,1281926,6726
LAZARD GLOBAL TOTAL RET INCM,LGI,1278211,6726
SALMEDIX INC-REDH,SMDX.,1133181,2834
NORTHSTAR REALTY FINANCE CP,NRF,1273801,6798
BLACKROCK ENHANCED CAP & INC,CII,1278895,6726
WELLS FARGO UTIL & HI INCOME,ERH,1279014,6726
RMR HOSPITALITY REAL ESTATE,RHR.3,1278038,6726
TS&W CLAYMORE TAX ADVNTG BL,TYW,1280226,6726
PRIMUS GUARANTY LTD,PRSG,1170593,6153
ALPHABET INC,GOOGL,1652044,7370
URANERZ ENERGY CORP,URZ,1162324,1090
PLANETOUT INC,LGBT.,1287258,7370
INTERACTIVE HEALTH INC-REDH,IHTT,1288746,2510
MCCORMICK & SCHMICKS SEAFOOD,MSSR,1288741,5812
SYNETICS SOULTIONS INC-REDH,SYSN,1286603,3559
MANNKIND CORP,MNKD,899460,2836
W&T OFFSHORE INC,WTI,1288403,1311
MEMEC INC-REDH,MEC.,1286733,5065
INFRASOURCE SERVICES,IFS.4,1276827,1623
PANDA ETHANOL INC,PDAE,1167880,2860
YASHENG GROUP,HERB,1123312,100
NESS TECHNOLOGIES INC,NSTC.1,1089638,7373
PRN CORP -REDH,PRNC.1,1113469,4833
CAREVIEW COMMUNICATIONS INC,CRVW,1377149,7372
MORNINGSTAR INC,MORN,1289419,7370
NEW RIVER PHARMA INC,NRPH,1288379,2834
STEREOTAXIS INC,STXS,1289340,3845
TEXAS ROADHOUSE INC,TXRH,1289460,5812
GRAMERCY PROPERTY TRUST,GPT,1297587,6798
CAPITAL LODGING-REDH,TCL.1,1287073,6798
CENCOSUD SA,CNCOY,1544856,5411
GRANDE CACHE COAL CORP,GACHF,1298559,1220
PEOPLESUPPORT INC,PSPT,1289001,7389
RIGHTNOW TECHNOLOGIES INC,RNOW,1111247,7372
TOWER GROUP INTL LTD,TWGP,1289592,6331
QC HOLDINGS INC,QCCO,1289505,6141
BANKWELL FINANCIAL GROUP INC,BWFG,1505732,6020
DOMAN BUILDING MATLS GP LTD,CWXZF,1292337,5030
ANSWERS CORP,ANSW,1283073,7370
SMARTPROS LTD,SPRO.1,1289863,8200
CALLWAVE INC,CLWA,1115091,7370
CHINA EDUCATION ALLIANCE INC,CEAI.,1203900,8200
METALICO INC,MEA,1048685,3341
180 CONNECT INC,3CNCT,1359950,1731
VIPR CORP,VIPV,1338629,1040
EXTRA SPACE STORAGE INC,EXR,1289490,6798
NEUROMETRIX INC,NURO,1289850,3841
OAK STREET FIN SRVC INC-REDH,OAKS.1,1273216,6162
MPC CORP,MPCCQ,1289871,3577
COGENT INC,COGT.1,1289434,7373
SYBARI SOFTWARE INC-REDH,SYBS,1139764,7372
EUROBANCSHARES INC,EUBK,1164554,6020
ZIPREALTY INC,ZIPR,1142512,6531
LUMERA CORP,LMRA,1137399,2821
VOLTERRA SEMICONDUCTOR CORP,VLTR,1050550,3674
MEDQUEST ASSOCIATES INC,0144A,1198268,8090
MQ ASSOCIATES INC,0552B,1198233,8071
ANVIL MINING LTD,AVM.1,1313214,1000
HERCULES CAPITAL INC,HTGC,1280784,6797
WASHINGTONFIRST BANKSHARES,WFBI,1476264,6020
CNB CORP /SC,CNBW,764581,6020
LIBERTY GLOBAL PLC,LBTYK,1570585,4841
GABELLI GLOBAL UTIL &INCM TR,GLU,1282957,6726
BLACKROCK DIVIDEND INCOME TR,BQY,1280936,6726
FIRST TRUST SR FLOAT RATE II,FCT,1282850,6726
MICT INC,MICT,854800,3812
WESTERN ASST INFLATN MGMT FD,IMF,1283721,6726
FULL METAL MINERALS LTD,FLMTF,1289695,1040
COMMERCIAL VEHICLE GROUP INC,CVGI,1290900,3714
RTW RETAILWINDS INC,RTWIQ,1211351,5621
FIDELITY NATL INFO SVC-REDH,FIS.3,1291080,7374
ELECTRONIC SENSOR TECH INC,ESNR,1122860,3679
TPC GROUP INC,TPCG,1452217,2860
DISPLAYTECH INC-REDH,LCOS,821256,3674
TELEGLOBE INTL HOLDINGS LTD,TLGB,1278739,4813
SYNTHESIS ENERGY SYSTEMS INC,SYNE,1375063,6794
GLOBAL SIGNAL INC,GSL.1,1278382,6798
INTRALASE CORP,ILSE,1163848,3845
BEACON ROOFING SUPPLY INC,BECN,1124941,5030
SYMMETRY MEDICAL INC,SMA,1292055,3842
GENERAL NUTRITION CNTRS INC,GNC1,1286045,5400
STRATAGENE CORP,STGN,1108674,2836
SFL CORP LTD,SFL,1289877,4412
GLOBAL ENTERTAINMENT CORP,ECXJ,885780,7900
GOL LINHAS AEREAS INTELIGENT,GOL,1291733,4512
XYRATEX LTD,XRTX,1284823,3572
THL BEDDING HOLDING CO-REDH,0560B,1275211,2511
KONGZHONG CORP -ADR,KZ,1285137,7372
SSA GLOBAL TECHNOLOGIES,SSAG,1205431,7372
POWERDSINE LTD,PDSN,1275816,3661
VIASPACE INC,VSPC,1270200,100
ABINGTON BANCORP INC,ABBC,1397533,6035
GMH COMMUNITIES TRUST,GCT,1293200,6798
VIVID LEARNING SYSTEMS INC,VVDL,1290689,7372
POLYPORE INTERNATIONAL INC,PPO,1292556,3990
SI FINANCIAL GROUP INC,SIFI,1500213,6036
INNOVIVA INC,INVA,1080014,2834
VIPER MOTORCYCLE CO-REDH,BIK.2,1255780,3751
PRA INTERNATIONAL,PRAI,1293243,8731
MERISANT WORLDWIDE INC,3888B,1283664,2090
PUREPOINT URANIUM GROUP INC,PUMGF,1860710,1090
HYSTER-YALE MATERIALS HNDLNG,HY,1173514,3537
NATIONAL WATERWORKS INC,0547B,1211010,5070
MADISON RIVER CAPITAL LLC,0145A,1111590,4813
WESTLAKE CHEMICAL CORP,WLK,1262823,2860
MINERA ALAMOS INC,MAIFF,1711272,1000
DIAMONDROCK HOSPITALITY CO,DRH,1298946,6798
NORCROSS SAFETY PRODUCTS,HON2,1264010,3842
GFI GROUP INC,GFIG,1292426,6211
HOMEBANC CORP,HMBNQ,1283683,6798
MORTGAGEIT HOLDINGS INC,MHL,1284151,6798
RELIANCE BANCSHARES INC/MO,RLBS,1003987,6020
LG DISPLAY CO LTD,LPL,1290109,3679
EGENERA INC-REDH,EGEN,1293139,3571
WOODFOREST FINANCIAL GP-REDH,WOOD.1,1294171,6020
COFFEE HOLDING CO INC,JVA,1007019,5140
EATON VANCE FLT RATE INCM TR,EFT,1288992,6726
FIRST TRUST ENERGY INCM & GR,FEN,1284940,6726
MONADNOCK BANCORP INC,MNKB,1283899,6035
AVIDBANK HOLDINGS INC,AVBH,1443575,6020
CREDIT ONE FINANCIAL INC,COFI,1201135,7310
MIRATI THERAPEUTICS INC,MRTX,1576263,2836
ST JOSEPH INC,STJO,1177135,7361
SIGNATURE BANK/NY,SBNY,1288784,6020
CANACCORD GENUITY GROUP INC,CCORF,1351306,6211
CENTERRA GOLD INC,CGAU,1854640,1040
DESARROLLADORA HOMEX SA,DHOXY,1293153,6552
FIRST CLOVER LEAF FINANCIAL,FCLF,1283582,6035
VIAD CORP,VVI,884219,7389
THIRD CENTURY BANCORP,TDCB,1282847,6035
FRASER PAPERS INC,FRPPF,1308833,2621
IKANOS COMMUNICATIONS INC,IKAN,1219210,3674
LOCAL CORP,LOCMQ,1259550,7370
SMARTBARGAINS INC-REDH,SBAR.,1295825,5990
CYCLACEL PHARMACEUTICALS,CYCC,1130166,2836
JAMDAT MOBILE INC,JMDT,1135271,7371
INTL SECURITIES EXCHNG HLDGS,ISE,1295230,6200
MICROPLANET TECHNOLOGY CORP,MCTYF,1358564,3620
COMMERCE ENERGY GROUP INC,CMNR,1274150,4911
JAMES RIVER COAL CO,JRCCQ,1297720,1220
51JOB INC  -ADR,JOBS,1295484,7361
TOP SHIPS INC,TOPS,1296484,4412
RBS GLOBAL INC,0089A,1213336,3560
GOLDQUEST MINING CORP,GDQMF,1393367,1040
MEDICAL FACILITIES CORP,MFCSF,1350067,8060
CELLCO PARTNERSHIP,VZ19,1175215,4812
